,total_bill,tip,sex,smoker,day,time,size,tip_pct,group
0,16.99,1.01,Female,No,Sun,Dinner,2,5.9446733372572105,1–2 People
1,10.34,1.66,Male,No,Sun,Dinner,3,16.054158607350097,3+ People
2,21.01,3.5,Male,No,Sun,Dinner,3,16.658733936220845,3+ People
3,23.68,3.31,Male,No,Sun,Dinner,2,13.97804054054054,1–2 People
4,24.59,3.61,Female,No,Sun,Dinner,4,14.680764538430255,3+ People
5,25.29,4.71,Male,No,Sun,Dinner,4,18.62396204033215,3+ People
6,8.77,2.0,Male,No,Sun,Dinner,2,22.80501710376283,1–2 People
7,26.88,3.12,Male,No,Sun,Dinner,4,11.607142857142858,3+ People
8,15.04,1.96,Male,No,Sun,Dinner,2,13.031914893617023,1–2 People
9,14.78,3.23,Male,No,Sun,Dinner,2,21.853856562922868,1–2 People
10,10.27,1.71,Male,No,Sun,Dinner,2,16.65043816942551,1–2 People
11,35.26,5.0,Female,No,Sun,Dinner,4,14.180374361883155,3+ People
12,15.42,1.57,Male,No,Sun,Dinner,2,10.181582360570687,1–2 People
13,18.43,3.0,Male,No,Sun,Dinner,4,16.277807921866522,3+ People
14,14.83,3.02,Female,No,Sun,Dinner,2,20.364126770060686,1–2 People
15,21.58,3.92,Male,No,Sun,Dinner,2,18.164967562557923,1–2 People
16,10.33,1.67,Female,No,Sun,Dinner,3,16.16650532429816,3+ People
17,16.29,3.71,Male,No,Sun,Dinner,3,22.774708410067525,3+ People
18,16.97,3.5,Female,No,Sun,Dinner,3,20.624631703005306,3+ People
19,20.65,3.35,Male,No,Sat,Dinner,3,16.222760290556902,3+ People
20,17.92,4.08,Male,No,Sat,Dinner,2,22.767857142857142,1–2 People
21,20.29,2.75,Female,No,Sat,Dinner,2,13.553474618038445,1–2 People
22,15.77,2.23,Female,No,Sat,Dinner,2,14.140773620798985,1–2 People
23,39.42,7.58,Male,No,Sat,Dinner,4,19.228817858954844,3+ People
24,19.82,3.18,Male,No,Sat,Dinner,2,16.044399596367306,1–2 People
25,17.81,2.34,Male,No,Sat,Dinner,4,13.138686131386862,3+ People
26,13.37,2.0,Male,No,Sat,Dinner,2,14.958863126402393,1–2 People
27,12.69,2.0,Male,No,Sat,Dinner,2,15.760441292356187,1–2 People
28,21.7,4.3,Male,No,Sat,Dinner,2,19.81566820276498,1–2 People
29,19.65,3.0,Female,No,Sat,Dinner,2,15.267175572519085,1–2 People
30,9.55,1.45,Male,No,Sat,Dinner,2,15.18324607329843,1–2 People
31,18.35,2.5,Male,No,Sat,Dinner,4,13.623978201634875,3+ People
32,15.06,3.0,Female,No,Sat,Dinner,2,19.9203187250996,1–2 People
33,20.69,2.45,Female,No,Sat,Dinner,4,11.841469308844852,3+ People
34,17.78,3.27,Male,No,Sat,Dinner,2,18.391451068616423,1–2 People
35,24.06,3.6,Male,No,Sat,Dinner,3,14.962593516209477,3+ People
36,16.31,2.0,Male,No,Sat,Dinner,3,12.262415695892091,3+ People
37,16.93,3.07,Female,No,Sat,Dinner,3,18.13349084465446,3+ People
38,18.69,2.31,Male,No,Sat,Dinner,3,12.359550561797752,3+ People
39,31.27,5.0,Male,No,Sat,Dinner,3,15.98976654940838,3+ People
40,16.04,2.24,Male,No,Sat,Dinner,3,13.965087281795514,3+ People
41,17.46,2.54,Male,No,Sun,Dinner,2,14.547537227949597,1–2 People
42,13.94,3.06,Male,No,Sun,Dinner,2,21.951219512195124,1–2 People
43,9.68,1.32,Male,No,Sun,Dinner,2,13.636363636363638,1–2 People
44,30.4,5.6,Male,No,Sun,Dinner,4,18.421052631578945,3+ People
45,18.29,3.0,Male,No,Sun,Dinner,2,16.402405686167302,1–2 People
46,22.23,5.0,Male,No,Sun,Dinner,2,22.492127755285647,1–2 People
47,32.4,6.0,Male,No,Sun,Dinner,4,18.51851851851852,3+ People
48,28.55,2.05,Male,No,Sun,Dinner,3,7.180385288966725,3+ People
49,18.04,3.0,Male,No,Sun,Dinner,2,16.629711751662974,1–2 People
50,12.54,2.5,Male,No,Sun,Dinner,2,19.936204146730464,1–2 People
51,10.29,2.6,Female,No,Sun,Dinner,2,25.26724975704568,1–2 People
52,34.81,5.2,Female,No,Sun,Dinner,4,14.938236139040505,3+ People
